Data;Temperatura
06/04/2016;24,46
07/04/2016;25,18
08/04/2016;24,94
09/04/2016;25,34
10/04/2016;25,04
11/04/2016;24,12
12/04/2016;24,24
13/04/2016;24,86
14/04/2016;25,9
15/04/2016;25,92
16/04/2016;25,52
17/04/2016;25,34
18/04/2016;25,76
19/04/2016;26,3
20/04/2016;25,9
21/04/2016;25,34
22/04/2016;24,66
23/04/2016;25,8
24/04/2016;26,04
25/04/2016;25,9
26/04/2016;22,14
27/04/2016;17,18
28/04/2016;15,36
29/04/2016;14,44
30/04/2016;16,34
01/05/2016;14,6
02/05/2016;16,28
03/05/2016;18,3
04/05/2016;18,76
05/05/2016;19,08
06/05/2016;19,94
07/05/2016;19,64
08/05/2016;19,94
09/05/2016;20,56
10/05/2016;20,14
11/05/2016;19,28
12/05/2016;18,1
13/05/2016;17,38
14/05/2016;17,8
15/05/2016;20,88
16/05/2016;21,56
17/05/2016;17,98
18/05/2016;15,72
19/05/2016;14,92
20/05/2016;18,36
21/05/2016;17,62
22/05/2016;20,94
23/05/2016;14,48
24/05/2016;13,6
25/05/2016;16,18
26/05/2016;17,64
27/05/2016;17,1
28/05/2016;18,08
29/05/2016;17,56
30/05/2016;17,2
31/05/2016;19,6
01/06/2016;20,58
02/06/2016;18,04
03/06/2016;17,3
04/06/2016;17,22
05/06/2016;19,6
06/06/2016;19,5
07/06/2016;14,16
08/06/2016;14,4
09/06/2016;11,38
10/06/2016;11,96
11/06/2016;10,92
12/06/2016;10,16
13/06/2016;9,94
14/06/2016;12,68
15/06/2016;15,54
16/06/2016;17,36
17/06/2016;18,9
18/06/2016;15,34
19/06/2016;16,22
20/06/2016;13,4
21/06/2016;12,78
22/06/2016;13,88
23/06/2016;16,68
24/06/2016;14,44
25/06/2016;15,32
26/06/2016;15,84
27/06/2016;15,04
28/06/2016;16,4
29/06/2016;18,08
30/06/2016;18,48
01/07/2016;17,44
02/07/2016;19,5
03/07/2016;20,2
04/07/2016;19,38
05/07/2016;19,66
06/07/2016;22,32
07/07/2016;16,7
08/07/2016;13,96
09/07/2016;15,3
10/07/2016;18,84
11/07/2016;21,62
12/07/2016;23,26
13/07/2016;19,82
14/07/2016;21,54
15/07/2016;23,58
16/07/2016;19,66
17/07/2016;13,8
18/07/2016;11,88
19/07/2016;12,5
20/07/2016;12,86
21/07/2016;13,36
22/07/2016;13,18
23/07/2016;15,94
24/07/2016;18,68
25/07/2016;19,44
26/07/2016;20,76
27/07/2016;18,7
28/07/2016;14,16
29/07/2016;14,96
30/07/2016;16,92
31/07/2016;18,34
01/08/2016;19,9
02/08/2016;16,34
03/08/2016;16,7
04/08/2016;18,32
05/08/2016;20,16
06/08/2016;21,86
07/08/2016;19,24
08/08/2016;16,1
09/08/2016;18,78
10/08/2016;14
11/08/2016;11,84
12/08/2016;13,52
13/08/2016;17,34
14/08/2016;19,86
15/08/2016;18,6
16/08/2016;19
17/08/2016;22,7
18/08/2016;17,86
19/08/2016;19,58
20/08/2016;18,48
21/08/2016;13,38
22/08/2016;11,36
23/08/2016;13,98
24/08/2016;16,04
25/08/2016;17,68
26/08/2016;19,66
27/08/2016;21,12
28/08/2016;22,24
29/08/2016;24,22
30/08/2016;23,08
31/08/2016;17,4
01/09/2016;17,68
02/09/2016;18,38
03/09/2016;20,14
04/09/2016;19,52
05/09/2016;18,76
06/09/2016;18
07/09/2016;17,8
08/09/2016;17,32
09/09/2016;17,18
10/09/2016;19,48
11/09/2016;20,94
12/09/2016;25,76
13/09/2016;25,82
14/09/2016;23,9
15/09/2016;17,44
16/09/2016;15,76
17/09/2016;19,44
18/09/2016;21,44
19/09/2016;19,56
20/09/2016;16,82
21/09/2016;15,06
22/09/2016;16,84
23/09/2016;19,14
24/09/2016;16,5
25/09/2016;14,36
26/09/2016;15,16
